,date,hour,user_id,province,hometown
74,2022-01-04,17:00,2,Pathum Thani,Pathum Thani
73,2022-01-05,00:00,2,Nonthaburi,Pathum Thani
62,2022-01-05,01:00,2,Nakhon Pathom,Pathum Thani
65,2022-01-05,11:00,2,Samut Prakan,Pathum Thani
75,2022-01-06,18:00,2,Pathum Thani,Pathum Thani
76,2022-01-06,21:00,2,Nonthaburi,Pathum Thani
77,2022-01-07,15:00,2,Pathum Thani,Pathum Thani
78,2022-01-07,23:00,2,Phra Nakhon Si Ayutthaya,Pathum Thani
80,2022-01-08,19:00,2,Pathum Thani,Pathum Thani
79,2022-01-09,00:00,2,Nonthaburi,Pathum Thani
82,2022-01-09,07:00,2,Nakhon Pathom,Pathum Thani
81,2022-01-09,13:00,2,Bangkok,Pathum Thani
83,2022-01-09,15:00,2,Pathum Thani,Pathum Thani
85,2022-01-09,17:00,2,Nonthaburi,Pathum Thani
84,2022-01-09,23:00,2,Pathum Thani,Pathum Thani
87,2021-01-02,13:00,3,Ratchaburi,Ratchaburi
88,2021-01-02,23:00,3,Suphan Buri,Ratchaburi
86,2021-01-03,08:00,3,Phra Nakhon Si Ayutthaya,Ratchaburi
91,2021-01-04,09:00,3,Ratchaburi,Ratchaburi
95,2021-01-04,10:00,3,Samut Sakhon,Ratchaburi
90,2021-01-04,13:00,3,Samut Songkhram,Ratchaburi
89,2021-01-04,23:00,3,Phetchaburi,Ratchaburi
96,2021-01-05,08:00,3,Samut Songkhram,Ratchaburi
94,2021-01-05,10:00,3,Samut Sakhon,Ratchaburi
92,2021-01-05,16:00,3,Ratchaburi,Ratchaburi
93,2021-01-05,21:00,3,Suphan Buri,Ratchaburi
97,2021-09-16,17:00,3,Ratchaburi,Ratchaburi
99,2021-09-17,02:00,3,Suphan Buri,Ratchaburi
98,2021-09-17,08:00,3,Sing Buri,Ratchaburi
100,2021-09-17,10:00,3,Nakhon Sawan,Ratchaburi
111,2021-12-13,17:00,3,Ratchaburi,Ratchaburi
103,2021-12-13,18:00,3,Kanchanaburi,Ratchaburi
102,2021-12-13,23:00,3,Nakhon Pathom,Ratchaburi
105,2021-12-14,07:00,3,Samut Prakan,Ratchaburi
104,2021-12-14,09:00,3,Chachoengsao,Ratchaburi
108,2021-12-14,11:00,3,Prachin Buri,Ratchaburi
101,2021-12-14,12:00,3,Chachoengsao,Ratchaburi
110,2021-12-14,20:00,3,Chanthaburi,Ratchaburi
109,2021-12-15,03:00,3,Chachoengsao,Ratchaburi
106,2021-12-15,04:00,3,Chanthaburi,Ratchaburi
107,2021-12-15,12:00,3,Ratchaburi,Ratchaburi
112,2021-12-17,21:00,3,Bangkok,Ratchaburi
113,2021-12-17,22:00,3,Samut Sakhon,Ratchaburi
114,2021-12-18,17:00,3,Bangkok,Ratchaburi
118,2021-12-18,22:00,3,Samut Sakhon,Ratchaburi
116,2021-12-19,06:00,3,Bangkok,Ratchaburi
115,2021-12-19,13:00,3,Nakhon Pathom,Ratchaburi
117,2021-12-19,15:00,3,Ratchaburi,Ratchaburi
121,2021-12-22,16:00,3,Ratchaburi,Ratchaburi
120,2021-12-22,21:00,3,Suphan Buri,Ratchaburi
119,2021-12-23,07:00,3,Ratchaburi,Ratchaburi
122,2021-12-24,13:00,3,Bangkok,Ratchaburi
123,2021-12-24,16:00,3,Nonthaburi,Ratchaburi
124,2021-12-24,17:00,3,Ratchaburi,Ratchaburi
126,2021-12-25,08:00,3,Ratchaburi,Ratchaburi
125,2021-12-25,13:00,3,Phetchaburi,Ratchaburi
130,2021-12-25,22:00,3,Ratchaburi,Ratchaburi
131,2021-12-25,23:00,3,Phetchaburi,Ratchaburi
128,2021-12-26,04:00,3,Ratchaburi,Ratchaburi
129,2021-12-26,10:00,3,Kanchanaburi,Ratchaburi
127,2021-12-26,19:00,3,Ratchaburi,Ratchaburi
133,2021-12-28,16:00,3,Ratchaburi,Ratchaburi
132,2021-12-29,02:00,3,Phetchaburi,Ratchaburi
134,2021-12-30,20:00,3,Bangkok,Ratchaburi
136,2021-12-31,02:00,3,Nakhon Pathom,Ratchaburi
139,2021-12-31,05:00,3,Ratchaburi,Ratchaburi
138,2021-12-31,13:00,3,Samut Sakhon,Ratchaburi
147,2021-12-31,13:00,3,Ratchaburi,Ratchaburi
137,2021-12-31,23:00,3,Bangkok,Ratchaburi
149,2021-12-31,23:00,3,Samut Sakhon,Ratchaburi
135,2022-01-01,07:00,3,Ratchaburi,Ratchaburi
148,2022-01-01,08:00,3,Ratchaburi,Ratchaburi
141,2022-01-01,13:00,3,Chiang Mai,Ratchaburi
145,2022-01-01,14:00,3,Lamphun,Ratchaburi
143,2022-01-01,19:00,3,Chiang Mai,Ratchaburi
140,2022-01-01,23:00,3,Chiang Rai,Ratchaburi
146,2022-01-02,07:00,3,Phayao,Ratchaburi
144,2022-01-02,15:00,3,Lampang,Ratchaburi
142,2022-01-02,16:00,3,Phrae,Ratchaburi
150,2021-10-14,19:00,4,Chai Nat,Chai Nat
152,2021-10-15,03:00,4,Sing Buri,Chai Nat
151,2021-10-15,09:00,4,Nakhon Sawan,Chai Nat
153,2021-10-15,15:00,4,Chai Nat,Chai Nat
155,2021-10-15,16:00,4,Suphan Buri,Chai Nat
154,2021-10-15,21:00,4,Chai Nat,Chai Nat
158,2021-12-16,08:00,4,Chai Nat,Chai Nat
159,2021-12-16,13:00,4,Suphan Buri,Chai Nat
156,2021-12-16,23:00,4,Nakhon Pathom,Chai Nat
157,2021-12-17,06:00,4,Chai Nat,Chai Nat
160,2021-12-25,20:00,4,Chai Nat,Chai Nat
162,2021-12-26,06:00,4,Sing Buri,Chai Nat
161,2021-12-26,11:00,4,Chai Nat,Chai Nat
164,2021-12-28,16:00,4,Chai Nat,Chai Nat
165,2021-12-28,18:00,4,Sing Buri,Chai Nat
163,2021-12-29,09:00,4,Chai Nat,Chai Nat
168,2021-12-30,17:00,4,Chai Nat,Chai Nat
170,2021-12-30,19:00,4,Nakhon Sawan,Chai Nat
166,2021-12-30,21:00,4,Chai Nat,Chai Nat
171,2021-12-31,05:00,4,Nakhon Sawan,Chai Nat
169,2021-12-31,11:00,4,Phichit,Chai Nat
167,2021-12-31,19:00,4,Nakhon Sawan,Chai Nat
172,2022-01-01,03:00,4,Chai Nat,Chai Nat
174,2022-01-02,20:00,4,Chai Nat,Chai Nat
175,2022-01-02,22:00,4,Sing Buri,Chai Nat
173,2022-01-03,08:00,4,Chai Nat,Chai Nat
179,2021-01-02,16:00,5,Lampang,Phrae
180,2021-01-02,23:00,5,Phayao,Phrae
177,2021-01-03,01:00,5,Lampang,Phrae
176,2021-01-03,05:00,5,Chiang Rai,Phrae
178,2021-01-03,11:00,5,Phrae,Phrae
183,2021-09-07,12:00,6,Nakhon Pathom,Nakhon Pathom
182,2021-09-07,19:00,6,Samut Prakan,Nakhon Pathom
181,2021-09-08,09:00,6,Nakhon Pathom,Nakhon Pathom
186,2021-09-09,11:00,6,Nakhon Pathom,Nakhon Pathom
184,2021-09-09,18:00,6,Suphan Buri,Nakhon Pathom
185,2021-09-10,06:00,6,Nakhon Pathom,Nakhon Pathom
189,2021-09-11,17:00,6,Nakhon Pathom,Nakhon Pathom
188,2021-09-11,18:00,6,Suphan Buri,Nakhon Pathom
187,2021-09-12,00:00,6,Sing Buri,Nakhon Pathom
190,2021-12-06,14:00,6,Nakhon Pathom,Nakhon Pathom
192,2021-12-06,23:00,6,Kanchanaburi,Nakhon Pathom
191,2021-12-07,07:00,6,Nakhon Pathom,Nakhon Pathom
195,2021-12-14,08:00,6,Nakhon Pathom,Nakhon Pathom
193,2021-12-14,15:00,6,Ratchaburi,Nakhon Pathom
194,2021-12-14,20:00,6,Nakhon Pathom,Nakhon Pathom
197,2021-12-28,21:00,6,Nakhon Pathom,Nakhon Pathom
196,2021-12-29,04:00,6,Bangkok,Nakhon Pathom
199,2021-12-29,13:00,6,Pathum Thani,Nakhon Pathom
198,2021-12-29,14:00,6,Phra Nakhon Si Ayutthaya,Nakhon Pathom
200,2021-12-29,22:00,6,Nakhon Pathom,Nakhon Pathom
204,2021-12-30,21:00,6,Nakhon Pathom,Nakhon Pathom
205,2021-12-31,03:00,6,Samut Prakan,Nakhon Pathom
203,2021-12-31,06:00,6,Chachoengsao,Nakhon Pathom
207,2021-12-31,14:00,6,Samut Prakan,Nakhon Pathom
224,2021-12-31,15:00,6,Nakhon Pathom,Nakhon Pathom
201,2022-01-01,00:00,6,Bangkok,Nakhon Pathom
225,2022-01-01,01:00,6,Samut Prakan,Nakhon Pathom
223,2022-01-01,03:00,6,Pathum Thani,Nakhon Pathom
206,2022-01-01,06:00,6,Samut Prakan,Nakhon Pathom
202,2022-01-01,09:00,6,Bangkok,Nakhon Pathom
208,2022-01-01,11:00,6,Nakhon Pathom,Nakhon Pathom
226,2022-01-01,11:00,6,Bangkok,Nakhon Pathom
218,2022-01-01,13:00,6,Samut Songkhram,Nakhon Pathom
217,2022-01-01,17:00,6,Samut Sakhon,Nakhon Pathom
222,2022-01-01,17:00,6,Samut Sakhon,Nakhon Pathom
212,2022-01-01,18:00,6,Nakhon Pathom,Nakhon Pathom
209,2022-01-01,23:00,6,Ratchaburi,Nakhon Pathom
227,2022-01-02,02:00,6,Samut Songkhram,Nakhon Pathom
210,2022-01-02,04:00,6,Kanchanaburi,Nakhon Pathom
211,2022-01-02,10:00,6,Nakhon Pathom,Nakhon Pathom
220,2022-01-02,15:00,6,Ratchaburi,Nakhon Pathom
219,2022-01-03,01:00,6,Samut Sakhon,Nakhon Pathom
221,2022-01-03,04:00,6,Nakhon Pathom,Nakhon Pathom
216,2022-01-03,11:00,6,Nakhon Pathom,Nakhon Pathom
213,2022-01-03,21:00,6,Bangkok,Nakhon Pathom
228,2022-01-03,21:00,6,Nakhon Pathom,Nakhon Pathom
214,2022-01-04,02:00,6,Nonthaburi,Nakhon Pathom
229,2022-01-04,03:00,6,Bangkok,Nakhon Pathom
215,2022-01-04,05:00,6,Nakhon Pathom,Nakhon Pathom
230,2022-01-04,10:00,6,Nakhon Pathom,Nakhon Pathom
231,2022-01-04,15:00,6,Samut Prakan,Nakhon Pathom
232,2022-01-04,22:00,6,Pathum Thani,Nakhon Pathom
233,2022-01-05,08:00,6,Nakhon Pathom,Nakhon Pathom
236,2021-03-28,19:00,7,Bangkok,Bangkok
239,2021-03-29,04:00,7,Pathum Thani,Bangkok
241,2021-03-29,13:00,7,Phra Nakhon Si Ayutthaya,Bangkok
237,2021-03-29,16:00,7,Ang Thong,Bangkok
240,2021-03-30,00:00,7,Phra Nakhon Si Ayutthaya,Bangkok
234,2021-03-30,09:00,7,Pathum Thani,Bangkok
235,2021-03-30,13:00,7,Nonthaburi,Bangkok
238,2021-03-30,22:00,7,Bangkok,Bangkok
243,2021-03-31,21:00,7,Bangkok,Bangkok
244,2021-04-01,00:00,7,Pathum Thani,Bangkok
242,2021-04-01,06:00,7,Bangkok,Bangkok
246,2021-06-06,21:00,7,Bangkok,Bangkok
245,2021-06-07,06:00,7,Samut Prakan,Bangkok
247,2021-10-27,10:00,7,Bangkok,Bangkok
249,2021-10-27,20:00,7,Pathum Thani,Bangkok
248,2021-10-28,04:00,7,Bangkok,Bangkok
252,2021-12-13,11:00,7,Bangkok,Bangkok
254,2021-12-13,15:00,7,Pathum Thani,Bangkok
256,2021-12-13,23:00,7,Phra Nakhon Si Ayutthaya,Bangkok
251,2021-12-14,07:00,7,Suphan Buri,Bangkok
255,2021-12-14,15:00,7,Kanchanaburi,Bangkok
253,2021-12-14,19:00,7,Ratchaburi,Bangkok
250,2021-12-15,08:00,7,Bangkok,Bangkok
257,2021-12-20,09:00,7,Bangkok,Bangkok
258,2021-12-20,10:00,7,Samut Sakhon,Bangkok
259,2021-12-20,13:00,7,Bangkok,Bangkok
261,2021-12-27,11:00,7,Bangkok,Bangkok
260,2021-12-27,17:00,7,Samut Prakan,Bangkok
264,2021-12-28,11:00,7,Chon Buri,Bangkok
262,2021-12-28,13:00,7,Chachoengsao,Bangkok
263,2021-12-28,15:00,7,Prachin Buri,Bangkok
265,2021-12-28,19:00,7,Chachoengsao,Bangkok
268,2021-12-29,18:00,7,Bangkok,Bangkok
267,2021-12-29,21:00,7,Nonthaburi,Bangkok
266,2021-12-30,06:00,7,Bangkok,Bangkok
273,2021-12-31,13:00,7,Samut Prakan,Bangkok
269,2021-12-31,17:00,7,Bangkok,Bangkok
272,2021-12-31,19:00,7,Nakhon Pathom,Bangkok
271,2022-01-01,03:00,7,Samut Prakan,Bangkok
270,2022-01-01,12:00,7,Pathum Thani,Bangkok
278,2021-05-27,16:00,8,Samut Prakan,Samut Prakan
279,2021-05-28,02:00,8,Bangkok,Samut Prakan
280,2021-05-28,08:00,8,Samut Prakan,Samut Prakan
277,2021-05-28,14:00,8,Bangkok,Samut Prakan
276,2021-05-28,19:00,8,Pathum Thani,Samut Prakan
274,2021-05-29,04:00,8,Phra Nakhon Si Ayutthaya,Samut Prakan
275,2021-05-29,07:00,8,Samut Prakan,Samut Prakan
282,2021-12-07,17:00,8,Trat,Samut Prakan
281,2021-12-08,01:00,8,Chanthaburi,Samut Prakan
284,2021-12-15,16:00,8,Samut Prakan,Samut Prakan
285,2021-12-15,19:00,8,Bangkok,Samut Prakan
283,2021-12-16,07:00,8,Samut Prakan,Samut Prakan
288,2021-12-17,21:00,8,Nonthaburi,Samut Prakan
286,2021-12-18,07:00,8,Nakhon Pathom,Samut Prakan
287,2021-12-18,14:00,8,Samut Prakan,Samut Prakan
289,2021-12-20,11:00,8,Samut Prakan,Samut Prakan
291,2021-12-20,15:00,8,Chachoengsao,Samut Prakan
290,2021-12-20,20:00,8,Chon Buri,Samut Prakan
292,2021-12-21,06:00,8,Chanthaburi,Samut Prakan
293,2021-12-21,09:00,8,Chon Buri,Samut Prakan
295,2021-11-02,11:00,9,Lamphun,Lamphun
297,2021-11-02,18:00,9,Lampang,Lamphun
294,2021-11-02,21:00,9,Chiang Mai,Lamphun
296,2021-11-03,03:00,9,Lamphun,Lamphun
301,2021-11-04,12:00,9,Lamphun,Lamphun
298,2021-11-04,19:00,9,Chiang Mai,Lamphun
302,2021-11-05,02:00,9,Lampang,Lamphun
300,2021-11-05,05:00,9,Phayao,Lamphun
299,2021-11-05,07:00,9,Lamphun,Lamphun
305,2021-11-06,14:00,9,Bangkok,Lamphun
303,2021-11-06,18:00,9,Samut Sakhon,Lamphun
304,2021-11-07,09:00,9,Lamphun,Lamphun
307,2021-11-08,08:00,9,Lamphun,Lamphun
310,2021-11-08,12:00,9,Lampang,Lamphun
308,2021-11-08,13:00,9,Phrae,Lamphun
306,2021-11-08,23:00,9,Sukhothai,Lamphun
309,2021-11-09,01:00,9,Lampang,Lamphun
311,2021-11-09,11:00,9,Lamphun,Lamphun
314,2021-11-17,16:00,9,Bangkok,Lamphun
315,2021-11-17,17:00,9,Samut Prakan,Lamphun
316,2021-11-18,01:00,9,Chachoengsao,Lamphun
313,2021-11-18,10:00,9,Chanthaburi,Lamphun
312,2021-11-18,13:00,9,Lamphun,Lamphun
318,2021-12-14,15:00,9,Lamphun,Lamphun
317,2021-12-14,18:00,9,Chiang Mai,Lamphun
319,2021-12-15,09:00,9,Lamphun,Lamphun
322,2021-12-16,17:00,9,Bangkok,Lamphun
321,2021-12-16,22:00,9,Nakhon Pathom,Lamphun
320,2021-12-17,08:00,9,Lamphun,Lamphun
323,2021-12-18,11:00,9,Bangkok,Lamphun
324,2021-12-18,20:00,9,Samut Prakan,Lamphun
327,2021-12-19,11:00,9,Lamphun,Lamphun
326,2021-12-19,20:00,9,Lampang,Lamphun
325,2021-12-20,00:00,9,Phayao,Lamphun
329,2021-12-21,10:00,9,Lamphun,Lamphun
328,2021-12-21,19:00,9,Chiang Mai,Lamphun
331,2021-12-23,18:00,9,Lamphun,Lamphun
333,2021-12-24,04:00,9,Chiang Mai,Lamphun
330,2021-12-24,06:00,9,Lampang,Lamphun
332,2021-12-24,15:00,9,Chiang Rai,Lamphun
334,2021-12-24,17:00,9,Lamphun,Lamphun
337,2021-12-28,12:00,9,Lamphun,Lamphun
335,2021-12-28,22:00,9,Chiang Mai,Lamphun
336,2021-12-29,09:00,9,Lamphun,Lamphun
340,2021-12-30,14:00,9,Pathum Thani,Lamphun
338,2021-12-30,17:00,9,Nonthaburi,Lamphun
341,2021-12-31,03:00,9,Bangkok,Lamphun
339,2021-12-31,12:00,9,Nonthaburi,Lamphun
343,2021-01-04,18:00,10,Chiang Mai,Chiang Mai
342,2021-01-05,02:00,10,Chiang Rai,Chiang Mai
345,2021-04-24,11:00,10,Chiang Mai,Chiang Mai
346,2021-04-24,16:00,10,Lampang,Chiang Mai
344,2021-04-24,18:00,10,Chiang Mai,Chiang Mai
348,2021-11-08,17:00,10,Sukhothai,Chiang Mai
347,2021-11-09,02:00,10,Phitsanulok,Chiang Mai
349,2021-11-09,12:00,10,Chiang Mai,Chiang Mai
353,2021-11-17,08:00,10,Chachoengsao,Chiang Mai
351,2021-11-17,09:00,10,Samut Prakan,Chiang Mai
352,2021-11-17,13:00,10,Bangkok,Chiang Mai
350,2021-11-17,14:00,10,Chiang Mai,Chiang Mai
354,2021-11-18,20:00,10,Bangkok,Chiang Mai
355,2021-11-19,04:00,10,Samut Sakhon,Chiang Mai
356,2021-11-19,09:00,10,Nakhon Pathom,Chiang Mai
358,2021-12-28,20:00,10,Chiang Mai,Chiang Mai
359,2021-12-29,02:00,10,Lamphun,Chiang Mai
357,2021-12-29,08:00,10,Chiang Mai,Chiang Mai
365,2021-12-30,16:00,10,Chiang Mai,Chiang Mai
366,2021-12-31,01:00,10,Lampang,Chiang Mai
361,2021-12-31,06:00,10,Chiang Rai,Chiang Mai
362,2021-12-31,14:00,10,Lampang,Chiang Mai
360,2021-12-31,22:00,10,Lamphun,Chiang Mai
364,2022-01-01,02:00,10,Chiang Mai,Chiang Mai
363,2022-01-01,09:00,10,Lampang,Chiang Mai
367,2021-09-21,16:00,11,Bangkok,Bangkok
369,2021-09-22,00:00,11,Pathum Thani,Bangkok
368,2021-09-22,06:00,11,Nonthaburi,Bangkok
372,2021-12-13,08:00,11,Bangkok,Bangkok
370,2021-12-13,16:00,11,Pathum Thani,Bangkok
371,2021-12-13,18:00,11,Bangkok,Bangkok
375,2021-12-18,09:00,11,Bangkok,Bangkok
373,2021-12-18,19:00,11,Samut Sakhon,Bangkok
374,2021-12-19,08:00,11,Bangkok,Bangkok
378,2021-12-28,17:00,11,Bangkok,Bangkok
376,2021-12-28,18:00,11,Samut Prakan,Bangkok
377,2021-12-29,07:00,11,Bangkok,Bangkok
382,2021-01-02,14:00,12,Nonthaburi,Nonthaburi
383,2021-01-02,23:00,12,Pathum Thani,Nonthaburi
380,2021-01-03,06:00,12,Nonthaburi,Nonthaburi
381,2021-01-03,07:00,12,Nakhon Pathom,Nonthaburi
379,2021-01-03,12:00,12,Nonthaburi,Nonthaburi
385,2021-01-04,08:00,12,Nonthaburi,Nonthaburi
386,2021-01-04,12:00,12,Pathum Thani,Nonthaburi
384,2021-01-04,21:00,12,Nonthaburi,Nonthaburi
392,2021-11-27,13:00,12,Nonthaburi,Nonthaburi
391,2021-11-27,18:00,12,Nakhon Pathom,Nonthaburi
388,2021-11-28,00:00,12,Samut Prakan,Nonthaburi
390,2021-11-28,07:00,12,Pathum Thani,Nonthaburi
387,2021-11-28,14:00,12,Phra Nakhon Si Ayutthaya,Nonthaburi
389,2021-11-28,19:00,12,Suphan Buri,Nonthaburi
394,2021-12-24,16:00,12,Nonthaburi,Nonthaburi
393,2021-12-25,02:00,12,Phra Nakhon Si Ayutthaya,Nonthaburi
395,2021-12-25,11:00,12,Nonthaburi,Nonthaburi
400,2021-12-28,16:00,12,Nonthaburi,Nonthaburi
398,2021-12-28,18:00,12,Nakhon Pathom,Nonthaburi
397,2021-12-28,23:00,12,Kanchanaburi,Nonthaburi
402,2021-12-29,06:00,12,Suphan Buri,Nonthaburi
399,2021-12-29,15:00,12,Sing Buri,Nonthaburi
396,2021-12-29,23:00,12,Chai Nat,Nonthaburi
401,2021-12-30,08:00,12,Nonthaburi,Nonthaburi
406,2021-12-30,12:00,12,Nonthaburi,Nonthaburi
405,2021-12-30,21:00,12,Nakhon Pathom,Nonthaburi
403,2021-12-31,02:00,12,Samut Prakan,Nonthaburi
433,2021-12-31,09:00,12,Nonthaburi,Nonthaburi
404,2021-12-31,11:00,12,Bangkok,Nonthaburi
429,2021-12-31,12:00,12,Bangkok,Nonthaburi
443,2021-12-31,19:00,12,Bangkok,Nonthaburi
435,2021-12-31,21:00,12,Nakhon Pathom,Nonthaburi
430,2021-12-31,22:00,12,Samut Prakan,Nonthaburi
428,2022-01-01,01:00,12,Pathum Thani,Nonthaburi
431,2022-01-01,02:00,12,Nonthaburi,Nonthaburi
442,2022-01-01,07:00,12,Bangkok,Nonthaburi
437,2022-01-01,15:00,12,Nakhon Pathom,Nonthaburi
465,2022-01-01,17:00,12,Nonthaburi,Nonthaburi
464,2022-01-01,19:00,12,Nakhon Pathom,Nonthaburi
409,2022-01-01,20:00,12,Nonthaburi,Nonthaburi
466,2022-01-01,22:00,12,Samut Sakhon,Nonthaburi
434,2022-01-02,01:00,12,Kanchanaburi,Nonthaburi
463,2022-01-02,01:00,12,Samut Songkhram,Nonthaburi
407,2022-01-02,03:00,12,Nakhon Pathom,Nonthaburi
432,2022-01-02,03:00,12,Suphan Buri,Nonthaburi
461,2022-01-02,06:00,12,Samut Sakhon,Nonthaburi
414,2022-01-02,08:00,12,Nonthaburi,Nonthaburi
457,2022-01-02,08:00,12,Nonthaburi,Nonthaburi
408,2022-01-02,09:00,12,Nonthaburi,Nonthaburi
415,2022-01-02,10:00,12,Phra Nakhon Si Ayutthaya,Nonthaburi
441,2022-01-02,11:00,12,Phra Nakhon Si Ayutthaya,Nonthaburi
438,2022-01-02,14:00,12,Ang Thong,Nonthaburi
456,2022-01-02,16:00,12,Bangkok,Nonthaburi
462,2022-01-02,16:00,12,Bangkok,Nonthaburi
467,2022-01-02,20:00,12,Nakhon Pathom,Nonthaburi
436,2022-01-02,21:00,12,Suphan Buri,Nonthaburi
455,2022-01-02,22:00,12,Nonthaburi,Nonthaburi
439,2022-01-03,05:00,12,Sing Buri,Nonthaburi
440,2022-01-03,09:00,12,Nonthaburi,Nonthaburi
458,2022-01-03,11:00,12,Nonthaburi,Nonthaburi
410,2022-01-03,13:00,12,Nonthaburi,Nonthaburi
413,2022-01-03,15:00,12,Nakhon Pathom,Nonthaburi
459,2022-01-03,18:00,12,Phra Nakhon Si Ayutthaya,Nonthaburi
417,2022-01-03,20:00,12,Nonthaburi,Nonthaburi
411,2022-01-04,00:00,12,Suphan Buri,Nonthaburi
418,2022-01-04,04:00,12,Pathum Thani,Nonthaburi
416,2022-01-04,08:00,12,Nonthaburi,Nonthaburi
460,2022-01-04,08:00,12,Nonthaburi,Nonthaburi
412,2022-01-04,09:00,12,Nonthaburi,Nonthaburi
446,2022-01-04,15:00,12,Nonthaburi,Nonthaburi
444,2022-01-04,21:00,12,Phra Nakhon Si Ayutthaya,Nonthaburi
445,2022-01-05,06:00,12,Nonthaburi,Nonthaburi
419,2022-01-05,11:00,12,Nonthaburi,Nonthaburi
420,2022-01-05,16:00,12,Nakhon Pathom,Nonthaburi
422,2022-01-06,02:00,12,Suphan Buri,Nonthaburi
448,2022-01-06,10:00,12,Nonthaburi,Nonthaburi
423,2022-01-06,11:00,12,Phra Nakhon Si Ayutthaya,Nonthaburi
